moisture,temperature,ec,pH,nitrogen,phosphorous,potassium,growth_stages,urea_status,nps_status,urea_dose,nps_dose
74.6,17.0,0.737,7.6,28.2,17.4,6.0,Fruiting,Balanced,Balanced,0.0,0.0
41.5,15.8,0.565,3.2,19.8,1.2,1.8,Fruiting,Balanced,Deficient,0.0,0.005
63.2,24.2,0.342,6.9,3.0,11.4,21.6,Fruiting,Deficient,Balanced,7.907,0.0
71.1,28.5,0.302,7.5,33.0,0.0,9.6,Fruiting,Balanced,Deficient,0.0,15.286
45.1,19.7,0.848,6.1,46.8,15.6,12.6,Fruiting,Balanced,Balanced,0.0,0.0
51.6,22.1,0.974,5.8,13.2,12.0,19.2,Fruiting,Balanced,Balanced,0.0,0.0
57.9,15.2,0.016,7.9,6.0,9.6,3.0,Fruiting,Deficient,Balanced,0.75,0.0
69.3,21.6,0.868,7.7,9.6,0.6,13.2,Fruiting,Balanced,Deficient,0.0,8.025
57.8,21.3,0.378,8.9,2.4,11.4,9.6,Fruiting,Deficient,Balanced,0.028,0.0
76.0,16.7,0.985,4.7,17.4,16.8,12.0,Fruiting,Balanced,Balanced,0.0,0.0
53.2,25.4,0.795,3.1,18.0,13.2,13.8,Fruiting,Balanced,Balanced,0.0,0.0
77.1,25.6,0.488,8.7,27.0,13.2,15.6,Fruiting,Balanced,Balanced,0.0,0.0
68.4,19.0,0.559,3.1,0.6,9.6,24.0,Fruiting,Deficient,Balanced,0.009,0.0
58.1,17.5,0.742,6.1,48.0,4.2,12.0,Fruiting,Balanced,Deficient,0.0,12.284
50.5,17.4,0.564,4.6,11.4,16.8,22.2,Fruiting,Balanced,Balanced,0.0,0.0
40.2,24.4,0.504,3.6,4.8,13.2,25.2,Fruiting,Deficient,Balanced,0.035,0.0
40.9,26.8,0.546,7.3,23.4,6.6,27.6,Fruiting,Balanced,Deficient,0.0,3.784
57.1,21.7,1.052,3.6,6.0,10.2,1.8,Fruiting,Deficient,Balanced,0.021,0.0
54.1,15.9,0.514,3.2,43.8,1.8,25.2,Fruiting,Balanced,Deficient,0.0,0.005
72.9,26.0,0.916,5.9,44.4,6.6,21.0,Fruiting,Balanced,Deficient,0.0,4.012
71.9,18.9,0.227,8.6,41.4,13.2,20.4,Fruiting,Balanced,Balanced,0.0,0.0
52.5,16.1,1.079,4.7,6.0,12.6,17.4,Fruiting,Deficient,Balanced,0.495,0.0
73.3,25.6,0.2,6.5,31.8,13.2,0.6,Fruiting,Balanced,Balanced,0.0,0.0
55.9,20.0,0.095,4.2,53.4,16.2,19.8,Fruiting,Balanced,Balanced,0.0,0.0
76.8,29.0,0.023,3.8,46.2,16.8,28.8,Fruiting,Balanced,Balanced,0.0,0.0
71.8,17.6,1.033,8.4,43.8,16.8,13.2,Fruiting,Balanced,Balanced,0.0,0.0
48.1,26.2,0.162,3.6,33.0,3.6,24.0,Fruiting,Balanced,Deficient,0.0,0.028
59.8,16.0,0.496,6.6,21.0,0.0,24.6,Fruiting,Balanced,Deficient,0.0,30.927
55.0,22.3,0.844,6.9,4.8,10.2,12.0,Fruiting,Deficient,Balanced,4.677,0.0
45.1,17.9,0.173,8.7,28.8,8.4,6.6,Fruiting,Balanced,Balanced,0.0,0.0
44.0,24.3,0.862,3.6,30.6,14.4,20.4,Fruiting,Balanced,Balanced,0.0,0.0
41.2,17.8,0.451,8.9,48.6,11.4,0.0,Fruiting,Balanced,Balanced,0.0,0.0
58.1,15.7,0.149,6.0,22.8,3.6,6.6,Fruiting,Balanced,Deficient,0.0,16.308
71.9,18.1,0.189,4.8,18.6,14.4,3.0,Fruiting,Balanced,Balanced,0.0,0.0
79.2,18.0,0.45,5.3,48.6,10.2,25.2,Fruiting,Balanced,Balanced,0.0,0.0
53.7,23.9,0.815,8.7,51.6,17.4,23.4,Fruiting,Balanced,Balanced,0.0,0.0
73.2,19.5,0.134,3.5,44.4,9.0,25.8,Fruiting,Balanced,Balanced,0.0,0.0
62.3,22.7,1.008,5.7,13.2,17.4,10.2,Fruiting,Balanced,Balanced,0.0,0.0
40.9,18.7,0.116,7.6,50.4,4.2,12.6,Fruiting,Balanced,Deficient,0.0,6.784
62.2,19.9,0.341,4.3,11.4,4.2,1.2,Fruiting,Balanced,Deficient,0.0,0.371
66.1,28.5,0.287,7.9,9.6,16.8,24.6,Fruiting,Balanced,Balanced,0.0,0.0
70.3,26.5,0.339,3.2,11.4,14.4,23.4,Fruiting,Balanced,Balanced,0.0,0.0
65.1,15.1,0.61,4.2,14.4,10.8,9.6,Fruiting,Balanced,Balanced,0.0,0.0
45.9,21.3,0.982,3.5,9.0,7.2,12.6,Fruiting,Deficient,Deficient,0.001,0.003
65.6,23.5,0.686,5.4,13.2,15.6,1.8,Fruiting,Balanced,Balanced,0.0,0.0
45.9,27.7,0.278,3.4,42.0,13.8,19.8,Fruiting,Balanced,Balanced,0.0,0.0
62.3,19.9,0.082,7.6,19.2,10.8,13.2,Fruiting,Balanced,Balanced,0.0,0.0
78.6,21.6,0.159,6.2,19.8,10.2,25.2,Fruiting,Balanced,Balanced,0.0,0.0
47.8,20.3,0.209,3.7,2.4,8.4,10.2,Fruiting,Deficient,Balanced,0.084,0.0
63.6,26.0,0.334,8.8,18.0,3.0,29.4,Fruiting,Balanced,Deficient,0.0,0.338
71.1,18.6,1.007,8.1,7.8,13.8,3.0,Fruiting,Deficient,Balanced,0.135,0.0
78.6,24.1,0.047,7.5,33.6,6.0,11.4,Fruiting,Balanced,Deficient,0.0,4.566
65.5,17.8,0.686,7.5,49.2,3.6,0.0,Fruiting,Balanced,Deficient,0.0,7.485
75.3,16.9,1.0,6.1,45.6,7.2,9.6,Fruiting,Balanced,Deficient,0.0,2.905
61.7,23.5,1.008,7.6,27.0,4.2,24.0,Fruiting,Balanced,Deficient,0.0,4.774
71.6,23.3,0.622,3.7,24.6,16.8,7.2,Fruiting,Balanced,Balanced,0.0,0.0
45.1,20.5,1.069,7.0,22.8,17.4,18.6,Fruiting,Balanced,Balanced,0.0,0.0
57.1,26.1,0.47,5.2,15.6,15.0,9.6,Fruiting,Balanced,Balanced,0.0,0.0
55.3,28.9,0.895,3.6,2.4,1.2,29.4,Fruiting,Deficient,Deficient,0.032,0.032
43.2,15.9,0.949,8.2,33.6,10.8,7.8,Fruiting,Balanced,Balanced,0.0,0.0
47.1,16.0,0.836,4.2,47.4,8.4,23.4,Fruiting,Balanced,Balanced,0.0,0.0
76.4,19.1,0.551,4.9,8.4,13.2,20.4,Fruiting,Deficient,Balanced,0.301,0.0
77.6,23.1,0.629,7.9,8.4,7.2,22.8,Fruiting,Balanced,Deficient,0.0,0.842
67.2,15.4,0.81,6.9,4.8,14.4,27.6,Fruiting,Deficient,Balanced,4.75,0.0
69.2,21.1,0.913,5.6,16.2,9.6,23.4,Fruiting,Balanced,Balanced,0.0,0.0
50.0,20.8,0.404,5.2,52.2,3.0,13.2,Fruiting,Balanced,Deficient,0.0,5.494
57.2,25.9,1.007,6.9,25.8,10.8,26.4,Fruiting,Balanced,Balanced,0.0,0.0
65.0,17.5,0.232,5.7,3.6,18.0,15.0,Fruiting,Deficient,Balanced,5.902,0.0
50.1,20.5,0.728,4.2,9.6,12.6,28.8,Fruiting,Balanced,Balanced,0.0,0.0
40.2,21.5,0.092,3.7,46.2,15.0,9.6,Fruiting,Balanced,Balanced,0.0,0.0
43.0,19.5,0.942,5.8,24.0,15.0,21.0,Fruiting,Balanced,Balanced,0.0,0.0
73.6,22.7,0.62,3.7,46.2,0.6,13.2,Fruiting,Balanced,Deficient,0.0,0.06
67.2,19.2,0.156,8.5,41.4,16.8,25.8,Fruiting,Balanced,Balanced,0.0,0.0
71.8,22.4,0.802,3.6,49.2,9.6,13.8,Fruiting,Balanced,Balanced,0.0,0.0
57.7,20.1,0.801,7.7,30.0,14.4,24.6,Fruiting,Balanced,Balanced,0.0,0.0
74.0,24.8,0.099,4.1,4.2,2.4,14.4,Fruiting,Deficient,Deficient,0.118,0.281
60.7,22.1,0.44,3.0,48.6,10.2,24.6,Fruiting,Balanced,Balanced,0.0,0.0
76.8,19.1,1.041,5.9,42.6,7.2,8.4,Fruiting,Balanced,Deficient,0.0,2.433
73.0,21.0,0.431,5.3,53.4,5.4,19.2,Fruiting,Balanced,Deficient,0.0,3.615
67.7,28.5,0.709,5.2,51.0,0.6,12.6,Fruiting,Balanced,Deficient,0.0,7.088
49.6,27.5,0.274,8.5,16.8,5.4,23.4,Fruiting,Balanced,Deficient,0.0,0.516
65.2,25.4,0.042,8.2,37.2,6.0,10.8,Fruiting,Balanced,Deficient,0.0,1.044
40.3,27.3,0.465,6.0,36.6,1.8,15.6,Fruiting,Balanced,Deficient,0.0,20.307
49.7,26.0,1.057,8.5,27.0,14.4,1.2,Fruiting,Balanced,Balanced,0.0,0.0
61.4,19.5,1.002,5.2,17.4,9.0,12.0,Fruiting,Balanced,Balanced,0.0,0.0
74.7,16.4,1.016,5.4,9.6,16.8,1.2,Fruiting,Balanced,Balanced,0.0,0.0
62.2,24.0,0.729,5.9,10.2,15.0,11.4,Flowering,Deficient,Balanced,5.975,0.0
65.2,20.5,0.653,5.5,8.4,6.0,10.8,Flowering,Deficient,Balanced,5.393,0.0
51.5,25.0,0.779,3.3,35.4,10.8,29.4,Flowering,Balanced,Balanced,0.0,0.0
79.9,27.1,0.143,5.0,28.8,14.4,27.0,Flowering,Balanced,Balanced,0.0,0.0
52.3,16.8,0.788,6.6,30.6,9.6,7.8,Flowering,Balanced,Balanced,0.0,0.0
40.8,21.3,0.523,7.0,34.2,1.2,1.8,Flowering,Balanced,Deficient,0.0,9.016
67.0,28.4,0.033,6.7,44.4,7.8,0.6,Flowering,Balanced,Balanced,0.0,0.0
64.7,16.5,0.336,5.4,38.4,4.2,15.0,Flowering,Balanced,Balanced,0.0,0.0
48.5,27.2,1.008,7.2,11.4,4.2,0.6,Flowering,Deficient,Balanced,3.185,0.0
47.0,25.7,1.062,7.3,19.8,9.6,9.0,Flowering,Balanced,Balanced,0.0,0.0
47.3,28.8,0.555,5.2,34.8,6.6,26.4,Flowering,Balanced,Balanced,0.0,0.0
47.2,17.6,0.365,8.1,10.2,5.4,1.8,Flowering,Deficient,Balanced,0.631,0.0
71.3,18.9,0.637,5.5,21.6,5.4,21.6,Flowering,Balanced,Balanced,0.0,0.0
75.0,21.1,0.297,5.5,15.0,10.2,14.4,Flowering,Deficient,Balanced,0.98,0.0
74.4,25.8,0.726,3.1,48.0,15.0,18.6,Flowering,Balanced,Balanced,0.0,0.0
71.6,26.2,1.048,3.8,10.2,10.2,13.8,Flowering,Deficient,Balanced,0.071,0.0
77.9,18.3,0.75,8.8,21.0,4.2,7.2,Flowering,Balanced,Balanced,0.0,0.0
75.0,19.5,0.157,4.4,47.4,12.0,4.2,Flowering,Balanced,Balanced,0.0,0.0
77.8,21.9,0.463,3.2,14.4,15.0,29.4,Flowering,Deficient,Balanced,0.003,0.0
55.9,24.3,0.022,6.5,10.2,3.6,15.0,Flowering,Deficient,Deficient,8.57,2.392
76.7,24.6,0.846,3.2,51.0,14.4,21.6,Flowering,Balanced,Balanced,0.0,0.0
76.9,21.0,0.702,8.9,36.0,7.8,6.6,Flowering,Balanced,Balanced,0.0,0.0
62.3,16.3,0.296,3.0,34.8,4.2,19.2,Flowering,Balanced,Balanced,0.0,0.0
45.2,24.7,0.732,8.5,29.4,16.8,20.4,Flowering,Balanced,Balanced,0.0,0.0
56.5,27.4,0.647,6.2,9.6,5.4,24.6,Flowering,Deficient,Balanced,8.032,0.0
44.7,18.7,0.132,4.1,2.4,7.8,4.8,Flowering,Deficient,Balanced,0.606,0.0
49.6,18.9,0.252,8.8,38.4,10.8,17.4,Flowering,Balanced,Balanced,0.0,0.0
41.0,23.2,0.155,7.6,6.6,6.0,25.8,Flowering,Deficient,Balanced,4.269,0.0
68.5,24.0,0.305,6.3,3.6,7.8,20.4,Flowering,Deficient,Balanced,17.897,0.0
66.1,22.9,0.438,3.2,10.2,7.2,1.2,Flowering,Deficient,Balanced,0.01,0.0
61.9,25.4,0.446,5.5,5.4,10.8,22.2,Flowering,Deficient,Balanced,8.08,0.0
40.8,28.4,0.773,7.7,35.4,5.4,1.8,Flowering,Balanced,Balanced,0.0,0.0
47.7,22.7,0.339,5.1,13.2,1.8,23.4,Flowering,Deficient,Deficient,0.471,2.018
48.8,20.4,0.999,4.8,26.4,4.2,18.6,Flowering,Balanced,Balanced,0.0,0.0
59.3,22.3,0.214,4.8,33.0,13.2,26.4,Flowering,Balanced,Balanced,0.0,0.0
40.0,28.8,0.392,7.7,43.8,18.0,9.0,Flowering,Balanced,Balanced,0.0,0.0
71.1,25.3,0.86,6.3,10.8,0.6,22.8,Flowering,Deficient,Deficient,1.604,11.086
49.5,15.1,0.042,3.7,48.0,0.6,27.0,Flowering,Balanced,Deficient,0.0,0.034
73.6,28.9,1.049,6.5,18.6,6.6,6.0,Flowering,Balanced,Balanced,0.0,0.0
70.3,28.1,0.482,7.1,25.2,10.8,11.4,Flowering,Balanced,Balanced,0.0,0.0
75.1,22.4,0.974,7.0,15.0,12.6,3.6,Flowering,Deficient,Balanced,1.066,0.0
49.6,27.1,0.756,6.9,3.0,12.6,15.6,Flowering,Deficient,Balanced,13.718,0.0
48.0,26.0,0.802,6.2,46.8,9.0,11.4,Flowering,Balanced,Balanced,0.0,0.0
53.7,17.7,1.083,8.4,21.6,0.6,15.0,Flowering,Balanced,Deficient,0.0,0.611
79.3,19.9,0.071,6.4,9.6,10.2,24.0,Flowering,Deficient,Balanced,10.3,0.0
73.1,19.5,0.85,4.7,21.6,2.4,6.6,Flowering,Balanced,Deficient,0.0,0.45
73.5,26.3,0.575,8.8,43.2,4.2,10.8,Flowering,Balanced,Balanced,0.0,0.0
63.4,16.2,0.194,5.8,32.4,6.0,22.8,Flowering,Balanced,Balanced,0.0,0.0
62.8,24.6,0.612,7.9,46.2,15.6,0.6,Flowering,Balanced,Balanced,0.0,0.0
57.6,17.3,0.516,6.5,51.6,13.8,9.6,Flowering,Balanced,Balanced,0.0,0.0
79.5,28.9,0.299,3.8,28.2,9.6,7.2,Flowering,Balanced,Balanced,0.0,0.0
55.3,23.6,0.487,4.2,37.2,1.8,16.8,Flowering,Balanced,Deficient,0.0,0.142
64.8,25.4,0.428,4.1,36.0,18.0,18.0,Flowering,Balanced,Balanced,0.0,0.0
56.2,28.5,0.723,4.1,34.2,13.2,1.2,Flowering,Balanced,Balanced,0.0,0.0
49.7,23.9,0.608,7.4,22.8,14.4,18.0,Flowering,Balanced,Balanced,0.0,0.0
70.8,24.6,0.573,8.6,5.4,11.4,28.2,Flowering,Deficient,Balanced,0.159,0.0
50.0,24.7,0.278,6.8,19.8,12.0,13.2,Flowering,Balanced,Balanced,0.0,0.0
57.6,17.9,0.49,8.8,11.4,4.2,9.0,Flowering,Deficient,Balanced,0.03,0.0
61.2,28.2,0.584,7.3,18.6,12.6,25.2,Flowering,Balanced,Balanced,0.0,0.0
77.2,19.0,0.181,8.4,7.2,7.2,3.0,Flowering,Deficient,Balanced,0.343,0.0
59.5,19.7,0.298,6.3,25.8,10.2,24.6,Flowering,Balanced,Balanced,0.0,0.0
57.4,24.7,1.093,7.1,48.6,6.0,11.4,Flowering,Balanced,Balanced,0.0,0.0
76.6,20.1,0.198,8.9,48.6,3.0,25.2,Flowering,Balanced,Deficient,0.0,0.053
63.5,23.5,0.387,4.9,54.0,8.4,15.0,Flowering,Balanced,Balanced,0.0,0.0
68.8,16.6,0.392,8.8,10.2,15.6,18.0,Flowering,Deficient,Balanced,0.039,0.0
47.5,20.9,0.281,7.6,4.2,6.6,10.2,Flowering,Deficient,Balanced,5.124,0.0
67.9,23.6,0.655,7.4,9.6,7.8,1.8,Flowering,Deficient,Balanced,3.703,0.0
52.2,15.7,0.409,4.6,54.0,12.6,9.0,Flowering,Balanced,Balanced,0.0,0.0
41.3,21.8,1.03,5.3,37.2,13.8,18.6,Flowering,Balanced,Balanced,0.0,0.0
47.4,26.4,0.909,5.5,40.2,13.2,12.0,Flowering,Balanced,Balanced,0.0,0.0
72.8,24.2,0.477,6.3,33.6,10.8,25.8,Flowering,Balanced,Balanced,0.0,0.0
57.4,16.8,0.64,6.7,9.0,5.4,18.0,Flowering,Deficient,Balanced,8.912,0.0
59.6,19.3,0.718,4.0,13.8,6.6,25.8,Flowering,Deficient,Balanced,0.064,0.0
74.8,28.3,0.121,4.0,21.0,9.6,8.4,Flowering,Balanced,Balanced,0.0,0.0
48.0,17.3,1.003,8.8,13.2,6.6,15.0,Flowering,Deficient,Balanced,0.015,0.0
63.2,27.7,0.2,4.4,21.0,13.8,9.0,Flowering,Balanced,Balanced,0.0,0.0
59.3,18.2,0.241,5.3,36.0,8.4,22.8,Flowering,Balanced,Balanced,0.0,0.0
61.9,27.0,0.089,7.9,18.6,5.4,19.8,Flowering,Balanced,Balanced,0.0,0.0
43.2,19.5,0.384,5.3,15.0,15.0,29.4,Flowering,Deficient,Balanced,0.725,0.0
66.4,21.3,0.558,7.9,35.4,12.0,26.4,Flowering,Balanced,Balanced,0.0,0.0
73.8,15.2,0.143,6.4,52.2,2.4,28.2,Flowering,Balanced,Deficient,0.0,7.333
64.4,20.9,0.83,6.5,15.6,7.8,20.4,Flowering,Deficient,Balanced,0.766,0.0
75.2,18.8,0.136,6.9,37.8,6.0,15.6,Flowering,Balanced,Balanced,0.0,0.0
53.3,20.8,0.161,3.1,20.4,3.0,13.2,Flowering,Balanced,Deficient,0.0,0.001
58.7,17.7,0.746,6.5,24.0,3.0,0.6,Flowering,Balanced,Deficient,0.0,3.891
74.1,26.2,0.633,5.7,28.2,1.2,20.4,Flowering,Balanced,Deficient,0.0,6.365
77.9,26.4,0.265,4.8,1.8,9.0,,Flowering,Deficient,Balanced,3.566,0.0
44.8,24.9,0.639,4.9,16.2,0.0,29.4,Flowering,Balanced,Deficient,0.0,1.994
61.8,25.1,0.395,4.8,22.8,3.0,0.0,Flowering,Balanced,Deficient,0.0,0.467
52.4,28.0,1.016,4.0,18.0,5.4,21.0,Flowering,Balanced,Balanced,0.0,0.0
63.1,20.9,0.69,6.7,13.2,0.0,12.0,Flowering,Balanced,Deficient,0.0,13.978
63.0,27.1,0.128,8.7,7.2,4.8,22.2,Flowering,Deficient,Balanced,0.099,0.0
67.6,15.2,0.801,5.0,22.2,10.8,14.4,Flowering,Balanced,Balanced,0.0,0.0
,23.9,0.825,4.6,12.6,7.2,17.4,Flowering,Deficient,Balanced,0.465,0.0
66.4,16.0,0.521,7.3,43.8,14.4,23.4,Flowering,Balanced,Balanced,0.0,0.0
74.0,28.7,1.076,3.5,9.6,8.4,10.2,Flowering,Deficient,Balanced,0.027,0.0
49.4,23.6,0.322,3.2,10.8,12.0,10.2,Flowering,Deficient,Balanced,0.009,0.0
54.2,21.0,0.256,7.5,51.6,14.4,17.4,Flowering,Balanced,Balanced,0.0,0.0
45.4,24.0,0.047,6.1,40.2,11.4,20.4,Flowering,Balanced,Balanced,0.0,0.0
,,,,,,,Flowering,Balanced,Balanced,0.0,0.0
25.4,31.2,0.421,4.1,38.4,17.4,18.6,Vegetative,Balanced,Balanced,0.0,0.0
26.1,29.0,0.187,8.5,13.2,13.2,13.8,Vegetative,Deficient,Balanced,0.37,0.0
25.5,32.6,0.549,4.8,46.8,3.6,29.4,Vegetative,Balanced,Deficient,0.0,0.21
39.6,32.7,0.63,5.5,46.8,5.4,21.6,Vegetative,Balanced,Balanced,0.0,0.0
32.9,30.2,0.326,4.9,11.4,6.6,15.6,Vegetative,Deficient,Balanced,4.848,0.0
29.5,31.5,0.552,6.0,13.2,16.2,10.8,Vegetative,Deficient,Balanced,16.54,0.0
30.8,29.9,0.147,8.6,44.4,4.2,3.0,Vegetative,Balanced,Balanced,0.0,0.0
39.8,32.8,0.176,7.7,40.8,0.0,6.6,Vegetative,Balanced,Deficient,0.0,5.642
25.9,36.3,0.728,6.5,37.2,6.6,29.4,Vegetative,Balanced,Balanced,0.0,0.0
30.7,29.8,0.282,5.6,19.8,4.2,10.8,Vegetative,Deficient,Balanced,7.046,0.0
28.7,34.2,0.665,4.0,22.2,9.0,2.4,Vegetative,Deficient,Balanced,0.148,0.0
37.5,30.2,0.289,7.8,47.4,18.0,6.0,Vegetative,Balanced,Balanced,0.0,0.0
29.5,33.5,0.008,7.9,39.0,3.0,13.2,Vegetative,Balanced,Deficient,0.0,1.09
26.6,36.1,0.857,8.2,29.4,2.4,12.0,Vegetative,Balanced,Deficient,0.0,0.59
30.7,35.4,0.885,6.3,25.8,12.6,25.2,Vegetative,Deficient,Balanced,2.187,0.0
27.3,30.0,0.595,8.1,48.6,1.8,18.6,Vegetative,Balanced,Deficient,0.0,1.148
28.6,30.5,0.69,8.9,45.0,0.6,20.4,Vegetative,Balanced,Deficient,0.0,0.137
38.4,34.6,0.257,4.7,46.2,9.6,16.8,Vegetative,Balanced,Balanced,0.0,0.0
33.2,28.2,0.602,5.3,4.2,16.8,9.6,Vegetative,Deficient,Balanced,12.591,0.0
32.2,34.3,0.561,3.1,36.0,10.8,5.4,Vegetative,Balanced,Balanced,0.0,0.0
33.5,28.3,0.387,6.7,54.0,16.2,17.4,Vegetative,Balanced,Balanced,0.0,0.0
32.6,36.6,0.92,3.3,47.4,15.0,6.0,Vegetative,Balanced,Balanced,0.0,0.0
39.6,29.2,0.63,6.0,0.6,1.8,24.0,Vegetative,Deficient,Deficient,27.074,6.882
36.9,32.6,0.813,8.6,45.0,7.8,14.4,Vegetative,Balanced,Balanced,0.0,0.0
27.4,30.0,0.735,6.3,44.4,0.0,15.6,Vegetative,Balanced,Deficient,0.0,13.711
32.2,35.1,0.786,8.7,15.0,13.2,18.0,Vegetative,Deficient,Balanced,0.11,0.0
32.1,29.3,0.771,7.0,9.6,13.2,4.8,Vegetative,Deficient,Balanced,17.029,0.0
29.5,35.5,0.264,7.9,25.8,5.4,21.0,Vegetative,Deficient,Balanced,0.388,0.0
34.0,32.0,0.163,6.4,42.0,13.2,28.2,Vegetative,Balanced,Balanced,0.0,0.0
39.4,33.9,0.466,7.0,43.8,4.8,24.0,Vegetative,Balanced,Balanced,0.0,0.0
36.2,30.1,0.495,4.1,31.8,8.4,18.6,Vegetative,Balanced,Balanced,0.0,0.0
28.3,32.9,0.359,5.5,22.2,12.6,3.6,Vegetative,Deficient,Balanced,4.263,0.0
35.3,33.3,0.399,6.8,10.8,1.8,15.0,Vegetative,Deficient,Deficient,18.194,8.516
30.3,34.6,0.983,6.9,46.2,3.0,19.2,Vegetative,Balanced,Deficient,0.0,3.075
36.0,29.9,0.303,3.6,9.6,8.4,4.8,Vegetative,Deficient,Balanced,0.147,0.0
27.0,31.7,0.482,4.5,49.2,18.0,29.4,Vegetative,Balanced,Balanced,0.0,0.0
34.2,28.3,0.108,6.9,1.8,13.8,23.4,Vegetative,Deficient,Balanced,33.986,0.0
31.6,36.2,0.855,7.8,33.0,8.4,12.6,Vegetative,Balanced,Balanced,0.0,0.0
35.6,36.0,0.245,,10.2,15.0,25.8,Vegetative,Deficient,Balanced,25.954,0.0
31.5,32.5,0.585,5.9,24.0,14.4,6.0,Vegetative,Deficient,Balanced,3.932,0.0
27.4,30.6,0.617,4.4,,13.2,4.2,Vegetative,Balanced,Balanced,0.0,0.0
34.4,36.1,0.934,3.8,33.6,4.8,4.8,Vegetative,Balanced,Balanced,0.0,0.0
27.0,35.3,0.413,3.8,34.8,4.2,1.8,Vegetative,Balanced,Balanced,0.0,0.0
33.1,36.1,0.399,5.6,21.6,2.4,,Vegetative,Deficient,Deficient,3.746,3.611
36.7,35.3,0.158,8.1,23.4,3.0,8.4,Vegetative,Deficient,Deficient,0.215,0.654
29.7,29.5,0.791,7.4,31.2,7.2,16.8,Vegetative,Balanced,Balanced,0.0,0.0
28.0,28.7,0.52,6.9,15.0,18.0,1.8,Vegetative,Deficient,Balanced,14.543,0.0
39.5,31.3,0.75,7.3,33.6,8.4,27.6,Vegetative,Balanced,Balanced,0.0,0.0
28.3,30.8,0.488,8.1,40.2,12.0,19.2,Vegetative,Balanced,Balanced,0.0,0.0
25.2,35.4,0.87,8.2,18.0,16.8,26.4,Vegetative,Deficient,Balanced,0.591,0.0
27.4,35.2,0.98,3.6,46.2,5.4,19.2,Vegetative,Balanced,Balanced,0.0,0.0
30.2,34.4,0.973,6.8,28.2,4.2,9.0,Vegetative,Balanced,Balanced,0.0,0.0
33.2,36.9,0.103,3.6,10.2,3.0,28.2,Vegetative,Deficient,Deficient,0.148,0.007
30.3,35.4,0.521,8.6,3.0,5.4,25.2,Vegetative,Deficient,Balanced,0.369,0.0
29.3,36.0,0.604,6.1,4.8,1.2,7.8,Vegetative,Deficient,Deficient,23.146,9.37
33.7,29.6,0.93,5.8,27.0,3.0,22.8,Vegetative,Balanced,Deficient,0.0,2.438
27.6,36.7,0.844,5.0,46.2,14.4,7.8,Vegetative,Balanced,Balanced,0.0,0.0
25.1,29.1,0.485,3.4,12.6,1.2,7.2,Vegetative,Deficient,Deficient,0.052,0.006
33.8,32.3,0.268,4.0,39.0,9.0,5.4,Vegetative,Balanced,Balanced,0.0,0.0
35.9,28.1,0.574,8.7,9.6,1.8,10.8,Vegetative,Deficient,Deficient,0.09,0.195
36.7,27.6,0.301,6.8,31.2,4.2,28.2,Vegetative,Balanced,Balanced,0.0,0.0
38.1,32.2,0.767,3.6,25.2,17.4,21.6,Vegetative,Deficient,Balanced,0.017,0.0
36.9,32.9,0.86,7.8,49.2,16.8,25.2,Vegetative,Balanced,Balanced,0.0,0.0
36.6,28.2,0.379,6.7,39.0,0.6,20.4,Vegetative,Balanced,Deficient,0.0,13.48
35.9,35.8,0.745,8.4,3.6,9.6,19.8,Vegetative,Deficient,Balanced,0.743,0.0
39.8,35.8,0.679,4.2,15.6,12.6,18.0,Vegetative,Deficient,Balanced,0.584,0.0
30.6,28.8,0.972,3.5,29.4,3.0,22.2,Vegetative,Balanced,Deficient,0.0,0.003
29.2,30.3,0.169,7.8,40.2,1.2,7.2,Vegetative,Balanced,Deficient,0.0,3.304
29.4,31.5,0.413,8.8,16.2,7.8,6.6,Vegetative,Deficient,Balanced,0.073,0.0
30.6,36.6,0.788,3.6,19.8,12.6,14.4,Vegetative,Deficient,Balanced,0.053,0.0
27.2,30.7,0.686,6.1,49.8,10.8,10.8,Vegetative,Balanced,Balanced,0.0,0.0
34.6,33.3,0.06,6.7,46.2,0.0,0.6,Vegetative,Balanced,Deficient,0.0,17.424
26.2,31.9,0.99,7.5,11.4,10.2,13.8,Vegetative,Deficient,Balanced,6.438,0.0
37.4,31.3,0.564,8.4,52.2,16.8,7.2,Vegetative,Balanced,Balanced,0.0,0.0
25.0,28.9,0.018,7.5,40.8,12.0,12.6,Vegetative,Balanced,Balanced,0.0,0.0
28.0,31.5,0.861,3.4,27.6,7.2,13.2,Vegetative,Balanced,Balanced,0.0,0.0
26.2,31.3,0.335,8.9,26.4,9.0,15.6,Vegetative,Deficient,Balanced,0.005,0.0
28.7,30.0,0.611,5.5,42.0,15.6,3.0,Vegetative,Balanced,Balanced,0.0,0.0
32.4,31.6,0.639,4.1,51.6,6.6,18.6,Vegetative,Balanced,Balanced,0.0,0.0
25.1,29.4,0.67,6.1,15.6,14.4,1.2,Vegetative,Deficient,Balanced,13.921,0.0
29.2,28.0,0.722,5.0,9.6,10.8,2.4,Vegetative,Deficient,Balanced,5.599,0.0
37.9,30.9,0.742,4.9,39.6,6.6,26.4,Vegetative,Balanced,Balanced,0.0,0.0
28.8,30.9,0.462,3.3,25.2,10.8,4.8,Vegetative,Deficient,Balanced,0.006,0.0
39.4,28.1,0.331,7.6,49.8,3.0,11.4,Vegetative,Balanced,Deficient,0.0,1.775
